D_PHS,Electricity|Electricity Storage|Pumped Storage
D_Battery_Li-Ion,Electricity|Electricity Storage|Lithium-Ion
D_Battery_Redox,Electricity|Electricity Storage|Redox Flow
D_CAES,Electricity|Electricity Storage|Compressed Air
D_PHS,Electricity|Electricity Storage|Pumped Storage
D_PHS_Residual,Electricity|Electricity Storage|Pumped Storage
D_Gas_H2,Energy Storage|Hydrogen|Salt Cavern
D_Gas_Methane,Energy Storage|Methane|Salt Cavern
D_HLI_Tank_Large,Heat|Energy Storage|Large Water Tank
D_HB_Tank_Small,Heat|Energy Storage|Small Water Tank
D_HD_Pit,Heat|Energy Storage|Water Pit
HB_Biomass,Heat|Residential and Commercial|Biomass
HB_Direct_Electric,Heat|Residential and Commercial|Electricity|Direct
HB_Gas_Boiler,Heat|Residential and Commercial|Gas
HB_Geothermal,Heat|Residential and Commercial|Geothermal
HB_H2_Boiler,Heat|Residential and Commercial|Hydrogen
HB_Hardcoal,Heat|Residential and Commercial|Coal|Hard Coal
HB_Heatpump_Aerial,Heat|Residential and Commercial|Electricity|Heat Pump|Air Sourced
HB_Heatpump_Ground,Heat|Residential and Commercial|Electricity|Heat Pump|Ground Sourced
HB_Lignite,Heat|Residential and Commercial|Coal|Lignite
HB_Oil_Boiler,Heat|Residential and Commercial|Oil
HB_Solar_Thermal,Heat|Residential and Commercial|Solar
HHI_BF_BOF,Heat|Industrial|Coal|Hard Coal
HHI_BF_BOF_CCS,Heat|Industrial|Coal|Hard Coal
HHI_Bio_BF_BOF,Heat|Industrial|Biomass
HHI_DRI_EAF,Heat|Industrial|Gas
HHI_DRI_EAF_CCS,Heat|Industrial|Gas
HHI_H2DRI_EAF,Heat|Industrial|Hydrogen
HHI_Molten_Electrolysis,Heat|Industrial|Hydrogen
HHI_Scrap_EAF,Heat|Industrial|Electricity
HLI_Biomass,Heat|Industrial|Biomass
HLI_Direct_Electric,Heat|Industrial|Electricity|Direct
HLI_Fuelcell,Heat|Industrial|Hydrogen
HLI_Gas_Boiler,Heat|Industrial|Gas
HLI_Geothermal,Heat|Industrial|Geothermal
HLI_H2_Boiler,Heat|Industrial|Hydrogen
HLI_Hardcoal,Heat|Industrial|Coal|Hard Coal
HLI_Lignite,Heat|Industrial|Coal|Lignite
HLI_Oil_Boiler,Heat|Industrial|Oil
HLI_Solar_Thermal,Heat|Industrial|Solar
HMHI_Biomass,Heat|Industrial|Biomass
HMHI_Gas,Heat|Industrial|Gas
HMHI_Gas_CCS,Heat|Industrial|Gas
HMHI_H2,Heat|Industrial|Hydrogen
HMHI_HardCoal,Heat|Industrial|Coal|Hard Coal|w/o CCS
HMHI_HardCoal_CCS,Heat|Industrial|Coal|Hard Coal|w/ CCS
HMHI_Oil,Heat|Industrial|Oil
HMHI_Steam_Electric,Heat|Industrial|Electricity
P_Biomass,Electricity|Biomass|w/o CCS
P_Biomass_CCS,Electricity|Biomass|w/ CCS
P_Coal_Hardcoal,Electricity|Coal|Hard Coal|w/o CCS
P_Coal_Hardcoal_CCS,Electricity|Coal|Hard Coal|w/ CCS
P_Coal_Lignite,Electricity|Coal|Lignite|w/o CCS
P_Coal_Lignite_CCS,Electricity|Coal|Lignite|w/ CCS
P_CSP,Electricity|Solar|CSP
P_Gas_CCGT,Electricity|Gas|CCGT|w/o CCS
P_Gas_CCS,Electricity|Gas|CCGT|w/ CCS
P_Gas_OCGT,Electricity|Gas|OCGT|w/o CCS
P_Geothermal,Electricity|Geothermal
P_H2_OCGT,Electricity|Hydrogen
P_Hydro_Reservoir,Electricity|Hydro|Reservoir
P_Hydro_RoR,Electricity|Hydro|Run of River
P_Nuclear,Electricity|Nuclear
P_Ocean,Electricity|Ocean
P_Oil,Electricity|Oil|w/o CCS
P_PV_Rooftop_Commercial,Electricity|Solar|PV|Commercial
P_PV_Rooftop_Residential,Electricity|Solar|PV|Residential
P_PV_Utility_Avg,Electricity|Solar|PV|Open Land
P_PV_Utility_Inf,Electricity|Solar|PV|Open Land
P_PV_Utility_Opt,Electricity|Solar|PV|Open Land
P_PV_Utility_Tracking,Electricity|Solar|PV|Open Land
P_Wind_Offshore_Deep,Electricity|Wind|Offshore
P_Wind_Offshore_Shallow,Electricity|Wind|Offshore
P_Wind_Offshore_Transitional,Electricity|Wind|Offshore
P_Wind_Onshore_Avg,Electricity|Wind|Onshore
P_Wind_Onshore_Inf,Electricity|Wind|Onshore
P_Wind_Onshore_Opt,Electricity|Wind|Onshore
